city_name_normalized,station_name,uic_code
abancourt,Abancourt,87313759
abbaretz,Abbaretz,87481614
abbeville,Abbeville,87317362
ablon,Ablon-sur-Seine,87545269
acheres grand cormier,Achères Grand Cormier,87386052
acheres ville,Achères Ville,87381657
achiet,Achiet-le-Grand,87342048
aeroport charles de gaulle 1,Aéroport Charles de Gaulle 1,87271460
aeroport charles de gaulle 2 tgv,Aéroport Charles de Gaulle 2 TGV,87001479;87271494
agay,Agay,87757559
agde,Agde,87781278
agen,Agen,87586008
agonac,Agonac,87595157
aguilcourt,Aguilcourt - Variscourt,87171702
aigrefeuille le thou,Aigrefeuille le Thou,87485193
aiguebelette,Aiguebelette-le-Lac,87741421
aiguebelle,Aiguebelle,87741256
aigueperse,Aigueperse,87734129
aigues,Aigues-Mortes,87775858
aiguillon,Aiguillon,87586693
aillevillers,Aillevillers,87185629
ailly,Ailly-sur-Noye,87313221
ailly,Ailly-sur-Somme,87313098
aimargues,Aimargues,87775833
aime,Aime - La Plagne,87741769
aiserey,Aiserey,87713636
aix,Aix-les-Bains le Revard,87741132
aix-les-bains,Aix-les-Bains le Revard,87741132
aix-en-provence,Aix-en-Provence TGV,87319012
aix-en-provence,Aix-en-Provence,87751404
aixe,Aixe-sur-Vienne,87592667
alai,Alaï,87722744
albens,Albens,87746115
albert,Albert,87313072
albertville,Albertville,87741645
albi,Albi,87615005
albi madeleine,Albi Madeleine,87615195
albias,Albias,87613398
albigny,Albigny - Neuville,87721266
alençon,Alençon,87444711
ales,Alès,87775288
allassac,Allassac,87594234
allee de la tour rendez,Allée de la Tour Rendez-Vous,87113878
allee royale,Allée Royale,87710913
allenc,Allenc,87783654
alleyras,Alleyras,87731885
altkirch,Altkirch,87182238
amagne,Amagne - Lucquy,87172262
ambazac,Ambazac,87592311
amberieu,Ambérieu-en-Bugey,87743716
amboise,Amboise,87574343
ambronay,Ambronay - Priay,87743146
amiens,Amiens,87313874
amifontaine,Amifontaine,87171744
amilly ouerray,Amilly Ouerray,87394205
amplepuis,Amplepuis,87721035
ancenis,Ancenis,87481192
anchamps,Anchamps,87172858
anche,Anché - Voulon,87575332
ancy,Ancy-sur-Moselle,87192419
